Nombre,Símbolo,Precio_USD,Market_Cap_USD,Volumen_24h_USD
iShares 20+ Year Treasury Bond Tokenized ETF (Ondo),TLTon,88.69,0.0,218011324570.0
Sharp,SHARP,0.00677,0.0,40254059450000.0
Wilder World,WILD,0.03771,0.0,3433109100000.0
Tesla Tokenized Stock (Ondo),TSLAon,415.3,0.0,852519820520.0
CoinEx Token,CET,0.02557,0.0,828703240000.0
Magma Finance,MAGMA,0.09479,0.0,264235927870000.0
Humidifi,WET,0.07807,0.0,1.349741317288e+16
Lava Network,LAVA,0.06764,0.0,328970748630000.0
Ponke,PONKE,0.03198,0.0,3698553115620000.0
Solend,SLND,0.1775,0.0,136767.9
CZ's Dog,BROCCOLI,0.01448,0.0,1.05749597302e+16
StablR Euro,EURR,1.18,0.0,48810484130000.0
Talus,US,0.00637,0.0,6.4167501e+16
Initia,INIT,0.07751,0.0,1.086977414022e+16
Alpha Quark Token,AQT,0.5223,0.0,23189254430000.0
Moss Coin,MOC,0.03175,0.0,103552932610000.0
Bone ShibaSwap,BONE,0.06063,0.0,71789811830000.0
LimeWire,LMWR,0.03101,0.0,81834326380000.0
Vanar Chain,VANRY,0.006108,0.0,2775735454380000.0
CONX,XPLA,0.0153,0.0,22333414580000.0
aPriori,APR,0.07397,0.0,576814277970000.0
FC Porto Fan Token,PORTO,1.05,0.0,24109722280000.0
Argentine Football Association Fan Token,ARG,0.8413,0.0,13958041650000.0
Hashflow,HFT,0.01952,0.0,6333822324320000.0
XSGD,XSGD,0.7873,0.0,433547550600.0
Solv Protocol,SOLV,0.007566,0.0,1.1626781153e+17
iShares TIPS Bond Tokenized ETF (Ondo),TIPon,111.89,0.0,140112.52
PIVX,PIVX,0.1112,0.0,278688425040000.03
Just a chill guy,CHILLGUY,0.01116,0.0,3841113344060000.0
Scroll,SCR,0.05873,0.0,517808788160000.0
Real,REAL,0.01112,0.0,36267732580000.0
Apple tokenized stock (xStock),AAPLX,269.99,0.0,718317426600.0
4,4,0.01107,0.0,4161123375880000.0
Infinity Ground,AIN,0.04006,0.0,196325248990000.0
Fuel Network,FUEL,0.001535,0.0,9.763698635e+16
Enzyme,MLN,3.66,0.0,3190365870990.0
Phoenix,PHB,0.1742,0.0,213551912250000.0
Open Loot,OL,0.01393,0.0,1764996126620000.0
MyShell,SHELL,0.03369,0.0,4770233141550000.0
Kleros,PNK,0.01188,0.0,1156399720000.0
Yee Token,YEE,0.008739,0.0,1917119219360000.0
Mitosis,MITO,0.04798,0.0,343451071570000.0
iShares Russell 1000 Growth Tokenized ETF (Ondo),IWFon,456.15,0.0,20894.57
Badger DAO,BADGER,0.4301,0.0,5353781240000.0
Pikaboss,PIKA,0.072049,0.0,6869335110000000.0
Galeon,GALEON,0.01044,0.0,400543830000.0
Aspecta,ASP,0.0295,0.0,164349855710000.0
Broadcom Tokenized Stock (Ondo),AVGOon,310.01,0.0,656360021170.0
Grin,GRIN,0.03831,0.0,19063497530.0
Origin Dollar,OUSD,0.9969,0.0,163968164460.0
Arena-Z,A2Z,0.001067,0.0,3.5661933340000004e+16
Fartboy,FARTBOY,0.008422,0.0,922566109530000.0
Bulla,BULLA,0.03004,0.0,5.8370745194e+17
Zerebro,ZEREBRO,0.008406,0.0,2794390332410000.0
SLIMEX,SLX,0.00484,0.0,1555235321280000.0
Cointel,COLS,0.01244,0.0,2115455169990000.0
Bitboard,BB,0.001597,0.0,374781234590000.0
KONET,KONET,0.01707,0.0,20983912280000.0
Axiome,AXM,0.01083,0.0,15535714330000.0
Soil,SOIL,0.1078,0.0,40968379970.0
CREPE,CREPE,1.204e-05,0.0,5.635074676e+16
Stonks,STNK,12.02,0.0,992178250.0
Mamo,MAMO,0.01197,0.0,58600948940000.0
Ancient8,A8,0.01548,0.0,146272894450000.0
Swarm,BZZ,0.1322,0.0,3974503000000.0
NATIX Network,NATIX,0.0001707,0.0,4349822540000000.0
SUNDOG,SUNDOG,0.006942,0.0,4056514584300000.0
Avalon Labs (AVL),AVL,0.04252,0.0,7964078187260000.0
Divi,DIVI,0.001496,0.0,5701038090000.0
Bytecoin,BCN,3.706e-05,0.0,0.0
DACXI,DXI,0.0006102,0.0,332426544700000.0
GOLDAO,GOLDAO,0.00692,0.0,1126162670.0
SpaceN,SN,0.1369,0.0,0.0
Vita Inu,VINU,0.08609,0.0,0.0
Ski Mask Dog,SKI,0.005528,0.0,44659180770000.0
Not Pixel,PX,0.02795,0.0,574552050000.0
Kekius Maximus (kekiusmaximus.vip),KEKIUS,0.00543,0.0,1081981199240000.0
Covalent X Token,CXT,0.005466,0.0,44728381810000.0
Vara Network,VARA,0.001101,0.0,112554102150000.0
PumpBTC (Governance token),PUMP,0.01887,0.0,139440473850000.0
Games for a Living,GFAL,0.001421,0.0,6921148690000.0
Izumi Finance,IZI,0.00682,0.0,13636119990000.0
Meta tokenized stock (xStock),METAX,688.35,0.0,1099377415970.0
SpaceChain,SPC,0.01745,0.0,10301590220.0
Numbers Protocol,NUM,0.006079,0.0,16476827100000.0
OctaSpace,OCTA,0.1048,0.0,2698132570000.0
FEED EVERY GORILLA,FEG,4.899e-05,0.0,3507527150000000.0
Jager Hunter,JAGER,0.093138,0.0,0.0
Tenset,10SET,0.02988,0.0,1583415290000.0
Unagi Token,UNA,0.005795,0.0,25062143240000.0
HashAI,HASHAI,4.926e-05,0.0,2361794790000000.0
Honeywell tokenized stock (xStock),HONX,232.58,0.0,7487673210.0
Steem Dollars,SBD,0.4232,0.0,12061662840000.0
Tharwa,TRWA,0.0005912,0.0,496768840150000.0
Observer,OBSR,0.000655,0.0,1684825710000.0
Amazon tokenized stock (xStock),AMZNX,235.71,0.0,1690239871700.0
Eli Lilly Tokenized Stock (Ondo),LLYon,1005.82,0.0,94662639410.0
KaiChain,KAI,0.000861,0.0,79559230000.0
The Official 67 Coin,67,0.004102,0.0,2155996525590000.2
VitaDAO,VITA,0.2903,0.0,646622260.0
Fei USD,FEI,0.9853,0.0,2232822660.0
Komodo,KMD,0.02487,0.0,1691616790000.0
Hathor,HTR,0.006594,0.0,34932152960000.0
memes will continue,memes,0.00338,0.0,4.206562124e+16
Populous,PPT,0.06342,0.0,741160.0
Djed,DJED,1.01,0.0,109541107560.0
UNCX Network,UNCX,71.72,0.0,11891165.79
DeepNode,DN,0.1486,0.0,286293319260000.0
QuStream,QST,0.004439,0.0,7199616210000.0
Dero,DERO,0.232,0.0,396917100.0
Seedify.fund,SFUND,0.03742,0.0,3216758590000.0
STUFF.io,STUFF,0.0009926,0.0,1115211230000.0
LumiWave,LWA,0.004276,0.0,719217168160000.0
Zeus Network,ZEUS,0.008147,0.0,1013561124390000.0
Adappter Token,ADP,0.0007068,0.0,334102472660000.0
Swarm Markets,SMT,0.03242,0.0,899612770000.0
Aragon,ANT,0.06299,0.0,0.0
Botto,BOTTO,0.05764,0.0,622061070000.0
AOL (America Online),AOL,0.002721,0.0,1110941408140000.1
Handshake,HNS,0.00401,0.0,94632350000.0
Astroon,AST,0.004412,0.0,19028943120000.0
Forest Protocol,FOREST,0.02446,0.0,1853507570000.0
Yala,YALA,0.009785,0.0,82513784310000.0
My Lovely Planet,MLC,0.02746,0.0,41197314990000.0
Nexera,NXRA,0.002572,0.0,4914419100000.0
USD Coin (Wormhole),USDC(WormHole),0.9904,0.0,233476235730.0
Kadena,KDA,0.008013,0.0,572567140000.0
Mysterium,MYST,0.1339,0.0,82010612120.0
Uranus,URANUS,0.02665,0.0,138028351780000.0
Palantir tokenized stock (xStock),PLTRX,155.72,0.0,104944673.92
MIA,MIA,0.01906,0.0,7565396770.0
Anthropic tokenized stock (PreStocks),ANTHROPIC,390.7,0.0,321746823.5
Cellframe,CELL,0.07662,0.0,5375187010000.0
TaleX,X,0.01459,0.0,507273470000.0
IBM Tokenized Stock (Ondo),IBMon,289.21,0.0,14465715000.0
Phoenixcoin,PXC,0.02348,0.0,1847850.0
Ethervista,VISTA,2.32,0.0,299935129060.0
三维威廉泰尔企鹅 (Vulgar Penguin),恶俗企鹅,0.002173,0.0,1727864794850000.0
Pepe Unchained (New),PEPU,0.0002044,0.0,2246941089999999.8
OciCat,OCICAT,0.086763,0.0,0.0
Hoge Finance,HOGE,0.055462,0.0,0.0
Jesus Coin,JESUS,0.071415,0.0,5203367640000000.0
Trading and Payment Token,TPTU,0.1417,0.0,1463451030000.0
Verasity,VRA,2.284e-05,0.0,1.6277177125e+17
Nodle,NODL,0.0003358,0.0,88138262450000.0
Symbiosis,SIS,0.01821,0.0,46870025730000.0
LUCA,LUCA,0.2618,0.0,106201405540.0
黑马,黑马,0.001775,0.0,1527126860040000.0
Ref Finance,REF,0.03896,0.0,641630.0
KiloEx,KILO,0.008363,0.0,41658349810000.0
BeB,BEB1M,0.001762,0.0,13835478470000.0
CaptainBNB,CaptainBNB,0.002011,0.0,18302090980000.0
U,U,0.001757,0.0,156228890000.0
Samoyedcoin,SAMO,0.000476,0.0,117911247690000.0
Petrobras Tokenized Stock (Ondo),PBRon,15.08,0.0,1591504105470.0
Clore.ai,CLORE,0.002717,0.0,1111888409230000.0
Rai Reflex Index,RAI,3.08,0.0,267818680.0
RyuJin,RYU,0.081786,0.0,0.0
OpenGPU,OGPU,0.08731,0.0,1753612000000.0
Prosper,PROS,0.03333,0.0,760782280000.0
General Electric Tokenized Stock (Ondo),GEon,306.3,0.0,12198963980.0
Solanium,SLIM,0.01397,0.0,1082757740000.0
Wells Fargo Tokenized Stock (Ondo),WFCon,93.04,0.0,2042.18
Sentinel,P2P,4.153e-05,0.0,481431150000000.0
DeFi Kingdoms,JEWEL,0.01219,0.0,14411830.0
TOP AI Network,TOP,9.588e-05,0.0,3394383530000000.0
Bitcicoin,BITCI,0.0001779,0.0,0.0
OPEN tokenized stock (xStock),OPENX,5.24,0.0,1344256.41
Accenture Tokenized Stock (Ondo),ACNon,242.5,0.0,343863314170.0
Dingocoin,DINGO,1.181e-05,0.0,1.7728415e+16
BytomDAO,BTM,0.0008761,0.0,0.0
NanoByte Token,NBT,0.001435,0.0,1615611250000.0
Midas The Minotaur,MIDAS,0.0001522,0.0,35124230740000.004
SubQuery Network,SQT,0.0003776,0.0,77392204940000.0
Boeing Tokenized Stock (Ondo),BAon,229.37,0.0,19126438330.0
Stool Prisondente,JAILSTOOL,0.001129,0.0,228557202400000.0
Futu Holdings Tokenized Stock (Ondo),FUTUon,158.29,0.0,309509119550.0
zkRace,ZERC,0.00939,0.0,149001580000.0
Palantir Technologies Tokenized Stock (Ondo),PLTRon,156.27,0.0,18907422120990.0
BaaSid,BAAS,0.0001122,0.0,71153633730000.0
HELLO Labs,HELLO,0.001527,0.0,12508681880000.0
Pwease,PWEASE,0.001116,0.0,467576418840000.0
Xeleb Protocol,XCX,0.01029,0.0,41872640670000.0
Hege,HEGE,0.001111,0.0,143638129170000.0
Fluence,FLT,0.004307,0.0,14897534580000.0
Palu,PALU,0.001106,0.0,587005530630000.0
Airbnb Tokenized Stock (Ondo),ABNBon,123.71,0.0,356009928770.0
Cryptocurrency Coin,CRYPTO,0.001104,0.0,2831625620000.0
IDRX,IDRX,5.94e-05,0.0,6997117780000.0
yesnoerror,YNE,0.001096,0.0,623782568760000.0
JoJoWorld,JOJO,0.008084,905421.44905421,44532455080000.0
Meter Governance,MTRG,0.02803,904766.23904766,804192860000.0
Uber Tokenized Stock (Ondo),UBERon,77.45,904407.28904407,477306361620.0
ShareToken,SHR,0.0002501,904227.7904228,150514601640000.0
WUFFI,WUF,0.071094,903930.2690393,42338630000000.0
S&P Global Tokenized Stock (Ondo),SPGIon,471.05,902575.8902576,13752.91
Neurai,XNA,5.49e-05,901747.95901748,30183549680000.0
Flamengo Fan Token,MENGO,0.058,898956.3898956,961271650000.0
YooShi,YOOSHI,0.082473,898519.5689852,898519.5689852
Hakka.Finance,HAKKA,0.002241,897328.57897329,2781.53
Truth,TRUU,7.381e-05,896823.36896823,2355823190000000.0
UnitedHealth tokenized stock (xStock),UNHX,284.27,895464.6895465,147560519.07
META FINANCIAL AI,MEFAI,0.001548,895400.94895401,258611166990000.0
Spain National Fan Token,SNFT,0.03909,895364.17895364,608041550000.0
EQTY,EQTY,0.003068,893181.08893181,15688151110000.0
Thermo Fisher tokenized stock (xStock),TMOX,575.45,725067725067.0,600.1039
LayerEdge,EDGEN,0.002497,724310.2972431,2079967832770000.0
Procter & Gamble tokenized stock (xStock),PGX,158.04,719090.271909,3053951930.0
TROY,TROY,7.047e-05,704763.21704763,12924183370000.0
Crowny,CRWNY,0.001547,715421.28715421,31632040000.0
Omnity Convertible Token,OCT,0.007152,715253.16715253,600968400000.0
OUTLAW Crypto Games,OUTLAW,0.0007173,714078.94714079,1256117510000.0
Real Smurf Cat,SMURFCAT,0.057595,712540.4571254,7846410330000000.0
ZyFAI,ZFI,0.009074,711282.34711282,220362420000.0
BIG,BIG,0.0007112,711206.61711207,5099871700000.0
Unifi Protocol DAO,UNFI,0.07442,710658.43710658,3113644180000.0
TTcoin Network,TC,0.0001441,709239.9270924,2449901690000000.0
Deeper Network,DPR,0.000214,704828.76704829,44533208070000.0
